protein,mean_orig,mean_ko,diff
ADGRL2,-0.11781149,0.12497258,0.24278408
SNTB1,-0.042797893,0.20047285,0.24327074
MUC1,0.027671726,0.2710519,0.24338019
SUPT4H1,-0.120840445,0.122683145,0.2435236
DDX56,-0.07114503,0.17243437,0.2435794
FARS2,0.013207311,0.25689936,0.24369204
ACOT9,0.09796165,0.34178448,0.24382283
BAIAP2L1,0.0491887,0.29302275,0.24383405
SLC4A2,-0.035554036,0.20830736,0.24386139
EIF2S2,-0.01525137,0.22893317,0.24418454
CFAP70,-0.006936413,0.23759063,0.24452704
TRIP12,0.09017904,0.33515295,0.24497391
FBXL18,0.06109993,0.30607975,0.24497981
XPNPEP3,-0.035581343,0.20968434,0.24526569
LGALS9,0.002922472,0.24824227,0.2453198
CELF2,-0.1285232,0.11684296,0.24536616
IVL,-0.04238194,0.20301712,0.24539906
EEF1A2,-0.04224826,0.20385098,0.24609925
PSMG3,-0.1315463,0.11461224,0.24615854
ZNHIT2,-0.040870737,0.20535319,0.24622393
HERC2,-0.053435422,0.19295627,0.24639168
BTF3,-0.01267697,0.23377962,0.2464566
EFL1,0.034906436,0.28172222,0.24681579
RABIF,-0.039732955,0.20718992,0.24692288
MTMR12,0.045175407,0.29224047,0.24706507
PPP1R7,-0.032910597,0.21425967,0.24717027
ERLIN1,0.08455223,0.33237094,0.24781871
GLS2,-0.074070714,0.17380823,0.24787894
YPEL5,-0.016009623,0.23214151,0.24815114
QSOX1,0.079467915,0.3277485,0.24828058
KIF1B,-0.030991258,0.21766569,0.24865694
SLC16A1,-0.009863076,0.23921664,0.24907972
PET117,-0.030713117,0.21854009,0.2492532
BABAM2,-0.028798101,0.22047216,0.24927026
MAPK3,-0.0084483,0.24087295,0.24932125
EIF3F,-0.030111523,0.21931097,0.24942249
MPHOSPH10,-0.1171068,0.1325713,0.2496781
MORF4L1,-0.031233875,0.21873325,0.24996713
MINK1,0.003669442,0.2543235,0.25065407
ARL2BP,-0.02124494,0.22946274,0.2507077
TIMM21,-0.02683208,0.22393486,0.25076693
TMEM201,-0.13796173,0.11283991,0.25080162
EIF3H,-0.04848347,0.20240827,0.25089175
NDFIP1,-0.020138375,0.23080371,0.25094208
TSC22D4,-0.0990503,0.15258227,0.25163257
OPLAH,-0.014396803,0.2373013,0.2516981
ZBTB42,0.015932288,0.2679262,0.2519939
PATL1,-0.050777905,0.20123167,0.25200957
IDH3A,0.017273704,0.26933327,0.25205958
BLOC1S5,-0.08426719,0.16781308,0.25208026
VAT1,0.019702272,0.27208194,0.25237966
PYM1,-0.046424408,0.20625336,0.25267777
HPS6,0.003077622,0.25578418,0.25270656
ACAT1,-0.05189008,0.2009574,0.2528475
