,protein,mean_orig,mean_ko,diff,p_value
2162,RREB1,0.024097405,-0.11573801,-0.13983542,0.10941733809216532
2163,UBAC1,-0.077189565,-0.21697998,-0.13979042,0.10407020203911693
2164,CLCN7,0.02141318,-0.11812224,-0.13953543,0.1104800464256143
2165,TIPIN,0.022219984,-0.117230505,-0.13945049,0.1340001966590994
2166,RXRB,-0.035134673,-0.17443016,-0.13929549,0.08365102481809106
2167,H2BC1,-0.08567994,-0.2249406,-0.13926065,0.07043429879964888
2168,HNRNPH1,-0.09235853,-0.23154709,-0.13918856,0.15899661111466962
2169,MRPL52,0.16681938,0.027683392,-0.13913599,0.0812174776094985
2170,SLC6A3,0.101979434,-0.03705118,-0.1390306,0.11083171416783284
2171,LRSAM1,0.046397533,-0.092632316,-0.13902985,0.09741950061195988
2172,ATP5ME,-0.0581498,-0.19711214,-0.13896234,0.12535523896757494
2173,TENM3,0.15971906,0.020861525,-0.13885754,0.14007437676386514
2174,CLGN,-0.05122108,-0.1899277,-0.13870662,0.0860666056545575
2175,KIAA0586,-0.0075690174,-0.1461429,-0.13857388,0.12111910269352506
2176,MED8,-0.04193372,-0.180464,-0.13853028,0.09794051848020598
2177,VPS29,0.1018035,-0.036506694,-0.1383102,0.13646975053349403
2178,RO60,0.01657609,-0.12154027,-0.13811636,0.1149596199246152
2179,FGFBP1,0.020605052,-0.11730315,-0.1379082,0.11013147705329633
2180,TBCC,-0.019863356,-0.15776907,-0.13790572,0.13425041156508621
2181,F5,-0.19957803,-0.33737215,-0.13779412,0.06751538393667761
2182,LUC7L3,-0.10154278,-0.23926228,-0.13771951,0.12098067861347434
2183,VPS51,0.0023377184,-0.13529682,-0.13763455,0.1431400286613692
2184,ZNF629,-0.024484131,-0.16209616,-0.13761203,0.1008192890891007
2185,CFDP1,-0.042374257,-0.17996755,-0.1375933,0.12178951244658481
2186,TMEM115,0.056830816,-0.080732934,-0.13756375,0.13084536813952477
2187,BECN1,-0.03566186,-0.17322426,-0.1375624,0.11183801046703527
2188,CAPS,-0.019005975,-0.15645161,-0.13744564,0.08475061183263419
2189,NRP1,0.1487911,0.011512844,-0.13727826,0.1440471787921296
2190,PANK4,-0.012033463,-0.14926898,-0.13723552,0.08798741045424789
2191,ADD1,-0.061756123,-0.19895168,-0.13719556,0.14890093582290403
2192,TRIP13,0.09973071,-0.037290532,-0.13702124,0.13120434381953738
2193,CDCA2,-0.039220564,-0.17609042,-0.13686985,0.0959434688013376
