,protein,mean_orig,mean_ko,diff,p_value
0,ARID2,-0.096135974,-1.3040277,-1.2078917,7.747267168358756e-33
1,BRD7,0.028488383,-1.0826098,-1.1110982,3.429033374830671e-27
2,SMARCA4,0.0133096455,-1.0862427,-1.0995523,1.3046202902497848e-27
3,MBD3,0.06856988,-0.8692492,-0.9378191,2.139049482939825e-22
4,CHD3,0.11709064,-0.76597035,-0.883061,1.766714556378682e-21
5,SMARCD1,-0.057206683,-0.9274282,-0.8702215,2.0612552535183347e-19
6,SMARCC2,0.0031827416,-0.85798967,-0.86117244,1.2242560990099745e-19
7,SMARCE1,-0.023284467,-0.87863517,-0.8553507,3.013545059371202e-19
8,SMARCB1,-0.07323052,-0.92018014,-0.84694964,6.9483343786675905e-22
9,JPH1,0.0112948045,-0.8311564,-0.84245116,3.0540967295656783e-19
10,ACTL6A,-0.11469481,-0.9251859,-0.8104911,2.2135707395729775e-20
11,RAD21,-0.07376645,-0.88119507,-0.8074286,4.322983144166669e-17
12,BRD3,-0.114951886,-0.9077073,-0.79275537,3.1901422160672576e-15
13,SMARCC1,-0.03852072,-0.81251174,-0.77399105,1.359528316030928e-16
14,RBBP5,-0.008084481,-0.7804879,-0.7724034,6.3010546766714385e-15
15,FADS1,0.13351147,-0.6291741,-0.7626856,5.4007460330540167e-17
16,TBCEL,0.086269125,-0.67154527,-0.7578144,8.430359292670406e-16
17,INTS1,0.10509789,-0.6497013,-0.7547992,4.153505935716791e-16
18,DDC,0.08059386,-0.67411864,-0.7547125,1.3906649739328547e-14
19,RBM10,0.010148648,-0.7434181,-0.75356674,2.373111564384337e-16
20,BANP,0.012021864,-0.73630273,-0.7483246,5.449412265098552e-16
21,SMC1A,-0.13866462,-0.8806763,-0.7420117,6.004612525578254e-15
22,ASB6,0.023838302,-0.71065724,-0.7344955,2.340252980696098e-16
23,EHMT2,-0.09181493,-0.82483727,-0.73302233,3.5933252831521705e-16
24,GOLGA6L7,-0.02244532,-0.75400394,-0.7315586,2.6584325909943042e-14
25,SPIN1,0.037075866,-0.6919382,-0.7290141,1.1885240317161157e-14
26,INTS3,0.13093485,-0.59398824,-0.7249231,2.5594081670207175e-16
27,CDK5RAP3,0.14623764,-0.5770694,-0.723307,3.4053537700387107e-13
28,TGM3,0.14611812,-0.5763446,-0.7224627,1.0430586501141331e-14
29,PCNT,0.00052753923,-0.7199039,-0.72043145,1.1281400459455771e-13
30,UBTF,-0.11796295,-0.8379719,-0.72000897,7.803915697420662e-15
31,SIN3A,0.028444586,-0.6751268,-0.7035714,4.291278735793579e-16
32,SV2A,0.06300362,-0.6362826,-0.6992862,1.57673486340143e-12
33,RBMXL1,0.048591506,-0.64895296,-0.69754446,1.7049432710252945e-13
34,CTNNAL1,0.04951056,-0.64725035,-0.6967609,2.3197699042281865e-14
35,BCL11B,0.04408807,-0.64909446,-0.6931825,7.641917115704554e-14
36,SMC3,-0.14998116,-0.8431321,-0.69315094,1.1897290300705972e-13
37,PPHLN1,-0.025354639,-0.71467847,-0.68932384,8.125723770664386e-13
38,WDR81,-0.10799376,-0.7967079,-0.68871415,1.0377863216312815e-16
39,H1-4,-0.016710961,-0.7030294,-0.68631846,8.517518655702238e-15
40,CGGBP1,0.023238733,-0.65531945,-0.6785582,9.119673153313955e-13
41,FDFT1,0.10293364,-0.5679504,-0.6708841,1.9791548411984502e-13
42,SYNE2,0.069441535,-0.59783727,-0.6672788,3.4417071814297373e-13
43,JMJD7,0.0385537,-0.62164,-0.66019374,4.6451923893729084e-14
44,ATP2B1,0.11331997,-0.5463567,-0.6596767,1.2458421635781684e-13
45,DNMT3A,-0.025299257,-0.6847704,-0.65947115,5.794921521592976e-14
46,GLUL,0.13438588,-0.52468,-0.6590659,1.0063849528856636e-11
47,DDX23,-0.09466428,-0.75161546,-0.6569512,1.0669343189784135e-11
48,EHMT1,-0.033489943,-0.6849352,-0.65144527,1.474100906889609e-12
49,CORO2A,0.053839263,-0.5898205,-0.6436598,2.394409689132155e-12
50,SMARCD2,-0.0423296,-0.6853394,-0.6430098,1.644735296994966e-12
51,BEND3,0.029943323,-0.6113121,-0.64125544,2.0178742716796997e-12
52,SMARCA5,-0.13693261,-0.7750413,-0.6381087,2.5585330013570226e-11
53,ATAD5,-0.03806535,-0.67588365,-0.6378183,2.4050205011769164e-13
54,SMU1,0.003586718,-0.6331417,-0.6367284,1.2641770763463927e-10
55,POMT2,0.027428033,-0.6089345,-0.63636255,8.778265142813195e-13
56,NT5DC2,0.026842173,-0.6084656,-0.6353078,1.833339243855857e-12
57,FUBP3,0.03705723,-0.5967245,-0.63378173,4.246715211895767e-11
58,NNT,-0.02064251,-0.6538966,-0.63325405,1.03922503353706e-12
59,WDR82,-0.08556166,-0.7173802,-0.63181853,4.505673957131837e-11
60,H4C1;H4C2;H4C3;H4C4;H4C5;H4C6;H4C8;H4C9;H4C11;H4C12;H4C13;H4C14;H4C15;H4-16,-0.026569633,-0.6570315,-0.6304619,4.025956198722383e-11
61,GPX7,-0.043676127,-0.6729678,-0.62929165,4.0499955595147805e-12
62,CDK2AP1,0.012466174,-0.61593723,-0.6284034,9.573687187286468e-12
63,TFAP4,0.01865387,-0.6085123,-0.62716615,1.0663343569637962e-11
64,POLR2A,-0.08484964,-0.7110739,-0.6262242,5.249031882445523e-11
65,ACAD10,0.0106634665,-0.6135457,-0.62420917,4.547165169403996e-13
66,NFRKB,0.0027607463,-0.6185668,-0.6213276,2.8296416895645632e-11
67,RAB23,0.1262301,-0.4936316,-0.6198617,2.97123608017661e-11
68,ASB7,0.045799896,-0.57057405,-0.61637396,2.0983497070958947e-13
69,CHRAC1,-0.0327388,-0.648875,-0.6161362,2.2503364926308006e-09
70,MTOR,0.13656439,-0.47939488,-0.6159593,6.74788544382114e-13
71,CMAS,0.08587212,-0.52964014,-0.61551225,5.291582142646886e-11
72,NSD3,-0.001918944,-0.6173192,-0.61540025,2.2977530256967456e-13
73,DIABLO,0.070137896,-0.5443734,-0.6145113,4.3410431811508233e-10
74,THNSL1,0.10572201,-0.508051,-0.613773,6.13941164955381e-11
75,SHMT2,-0.090341985,-0.7028431,-0.61250114,2.2562151369515643e-11
76,MTERF4,0.09020927,-0.5222721,-0.61248136,7.96680651193423e-11
77,LCOR,0.15537623,-0.45553428,-0.61091053,1.8981927860587992e-10
78,SFXN2,-0.028924398,-0.63805044,-0.60912603,3.511426741995976e-11
79,STAG2,-0.0019853234,-0.6094288,-0.6074435,1.131981391319273e-10
80,CTDSPL2,-0.031740554,-0.6384607,-0.60672015,1.3587786674444478e-11
81,HNRNPR,-0.068137325,-0.67461133,-0.606474,2.5527343086229406e-11
82,CDKN2AIP,0.0042289575,-0.59620464,-0.6004336,2.360542692128905e-10
83,MAN2C1,0.05557071,-0.5447719,-0.60034263,9.494173111119667e-12
84,HNRNPDL,-0.08645286,-0.68670964,-0.6002568,8.511565208737277e-11
85,STXBP5,0.04707247,-0.55270284,-0.5997753,2.9007176307843007e-11
86,SNRPD1,-0.029716924,-0.62915725,-0.59944034,4.338097508026255e-11
87,ILF3,-0.06427955,-0.663694,-0.59941447,8.71501602824563e-12
88,RBM12B,0.039496634,-0.5522427,-0.59173936,2.2318301278357685e-12
89,ZMYND11,0.16104089,-0.43021598,-0.59125686,6.628588030564939e-10
90,MAP4K5,0.069029875,-0.5218922,-0.59092206,1.0595401839032337e-09
91,TASOR,0.0731995,-0.5172274,-0.5904269,2.4605390110298248e-12
92,SUDS3,0.007747249,-0.5816389,-0.5893861,9.379413923868054e-10
93,RPP25L,-0.006749935,-0.59352,-0.58677006,2.94722977978687e-10
94,WASF1,0.01214959,-0.5742726,-0.58642215,3.36263711082237e-11
95,NIPBL,-0.040618125,-0.6267111,-0.58609295,5.560484876196369e-10
96,HNRNPH3,-0.0020337978,-0.58629674,-0.58426297,9.866594108631958e-11
97,CBX8,-0.09353029,-0.6766105,-0.58308023,2.3206140024164373e-10
98,MTA2,-0.16003191,-0.7421639,-0.582132,3.0361235427023785e-09
99,KHDRBS3,0.06686577,-0.5149305,-0.5817963,6.688622099417294e-10
100,TRMT2B,-0.04724619,-0.6289304,-0.5816842,8.727869455248917e-11
101,ING1,0.023668455,-0.5571848,-0.5808533,1.8521213573804328e-11
102,H1-10,0.072729364,-0.5075168,-0.58024615,2.4554341234740287e-11
103,DHRS13,-0.010770247,-0.5909706,-0.5802003,2.541749948407672e-10
104,FOXA1,0.069668785,-0.507742,-0.57741076,7.256831619240636e-10
105,SYNCRIP,-0.054131866,-0.63105685,-0.576925,1.3885178581323369e-09
106,FAM186A,-0.025526715,-0.6011959,-0.57566917,6.941577020995234e-11
107,KAT7,-0.06925256,-0.6439929,-0.57474035,1.7358664579502078e-09
108,IFT140,-0.036471672,-0.60738724,-0.5709156,1.032518073578859e-11
109,MYO1D,0.092746444,-0.47814327,-0.5708897,1.680739021210377e-09
110,SUPT6H,-0.04082271,-0.6114049,-0.5705822,2.565467105620199e-10
111,LONP2,-0.035942953,-0.60539824,-0.56945527,5.380598188731976e-10
112,SACM1L,-0.06959222,-0.6384941,-0.56890184,1.1980852295583648e-09
113,CTR9,-0.008117521,-0.5762869,-0.5681694,3.0846754978996495e-10
114,SBF1,-0.005592995,-0.573604,-0.568011,9.835403585777517e-10
115,USP11,-0.023264233,-0.5910096,-0.5677454,6.799228559764107e-11
116,SIM2,0.0984577,-0.46911684,-0.56757456,5.299780568274226e-09
117,PRKAA2,-0.01083538,-0.5783764,-0.567541,5.23767986576073e-12
118,STK32C,0.08144915,-0.48473668,-0.56618583,7.1288316918027425e-09
119,PRPF4,0.010632708,-0.5544268,-0.5650595,5.631842563404618e-09
120,NRP2,0.062293224,-0.50223386,-0.5645271,7.915929506584056e-10
121,POGZ,-0.019462908,-0.58313227,-0.5636694,6.353106436187836e-10
122,VRK1,-0.05009956,-0.6117232,-0.56162363,3.088324569046869e-09
123,FAR1,0.13056397,-0.43044284,-0.5610068,2.9715663727463454e-10
124,SNRNP200,-0.034121435,-0.595122,-0.5610005,1.041048332546075e-08
125,PDS5B,-0.013739171,-0.5741721,-0.5604329,2.708461582978446e-10
126,LARS2,-0.10283279,-0.65988857,-0.5570558,7.626815615900215e-10
127,HNRNPK,-0.055251427,-0.6120624,-0.556811,7.101013770541369e-10
128,WTAP,0.017543472,-0.5391902,-0.55673367,1.2129292063924483e-07
129,MATR3,-0.051290922,-0.6078904,-0.5565995,6.357546064925572e-09
130,ABAT,0.06874401,-0.4851195,-0.5538635,5.039354010445549e-09
131,ARGLU1,-0.022871858,-0.5761112,-0.55323935,6.816980697045307e-10
132,PRXL2A,0.077900894,-0.47513878,-0.55303967,1.7157991936496192e-09
133,PCDHB4,-0.02499396,-0.5777636,-0.55276966,6.183434337332732e-09
134,ADNP,-0.030018978,-0.58201534,-0.55199635,3.032933238459902e-10
135,PHYKPL,0.0045134583,-0.5459306,-0.55044407,3.3348040047944217e-09
136,DHX30,-0.074653044,-0.6249143,-0.55026126,2.0556910837075646e-08
137,NCS1,0.13435546,-0.41560215,-0.54995763,5.895967399512732e-09
138,MICU1,-0.08562309,-0.63535887,-0.5497358,3.384722674898474e-09
139,MKRN2,0.052294258,-0.49720547,-0.54949975,7.316605778207603e-10
140,MIDEAS,0.07395216,-0.47487652,-0.54882866,9.783365403208926e-10
141,HNRNPU,-0.0871661,-0.6345634,-0.54739726,3.171800465028983e-09
142,WFIKKN2,-0.018582841,-0.5659281,-0.5473453,2.83186148492554e-10
143,RALGAPB,0.08890164,-0.45680267,-0.5457043,1.916645800716259e-10
144,NCOR2,0.1427773,-0.40273392,-0.54551125,1.3807276985676217e-09
145,LDAH,0.047670566,-0.49756482,-0.5452354,6.228782076078388e-10
146,BUD13,0.13989404,-0.40524206,-0.5451361,1.4299551285400607e-10
147,IQGAP3,0.09348136,-0.45132488,-0.54480624,2.1634583121360943e-09
148,NELFB,-0.026156718,-0.57058275,-0.544426,1.5426031290725794e-10
149,GCAT,-0.036354125,-0.5807279,-0.54437375,9.218623969192786e-10
150,SENP1,-0.06513477,-0.6092006,-0.54406583,3.605477123540861e-09
151,INCENP,0.015207855,-0.5280459,-0.5432537,2.616745241674113e-09
152,MON2,0.0064221434,-0.53660893,-0.5430311,1.52625069480273e-10
153,WDR92,0.033667915,-0.50885546,-0.5425234,7.217513097855762e-09
154,CREB1,-0.021592038,-0.56359243,-0.5420004,1.5263928051168667e-09
155,TMPO,-0.017518535,-0.5563418,-0.5388233,5.7516465653358175e-09
156,NCOA6,0.013053191,-0.52332264,-0.5363758,3.7617978980758945e-09
157,SLC25A11,0.06440125,-0.4719256,-0.5363268,4.1069034387807595e-10
158,SRSF3,-0.06668258,-0.6025233,-0.53584075,2.969766770686949e-09
159,WNK2,-0.012144509,-0.5479031,-0.5357586,3.7261592416233405e-09
160,SINHCAF,-0.020391794,-0.555791,-0.5353992,6.06936821828099e-10
161,IGSF1,0.08182976,-0.4535482,-0.535378,4.355879166498917e-09
162,HNRNPA0,-0.025474623,-0.5588966,-0.533422,1.9265928912896832e-08
163,GMEB2,-0.076824926,-0.6100369,-0.533212,5.377419490000974e-09
164,ATPAF1,-0.01111838,-0.54432553,-0.5332072,1.2422660005710864e-09
165,MAFG,0.12975171,-0.40293893,-0.53269064,1.727771054355391e-09
166,GSTM3,0.12180385,-0.41021514,-0.532019,2.2309271244157315e-08
167,BRI3BP,-0.03460162,-0.5665969,-0.5319953,8.388210389428762e-09
168,EP400,0.0685083,-0.46338883,-0.5318971,4.465967286369892e-10
169,RBM15B,0.027565986,-0.50295717,-0.5305232,4.0451813594506107e-10
170,SYT1,0.0023471164,-0.52813846,-0.5304856,1.1689639207648194e-09
171,SAP30,-0.115211464,-0.6449819,-0.52977043,2.7866245412477875e-09
172,C16orf87,0.077844106,-0.45172378,-0.5295679,1.419055854177892e-09
173,BAZ1B,-0.12560199,-0.65500367,-0.52940166,1.0544807993939931e-07
174,ALAD,0.09188759,-0.43746084,-0.52934843,1.595898747589933e-07
175,HNRNPA1,-0.10275314,-0.63200057,-0.5292474,1.6520648697304833e-07
176,PHF10,-0.030696206,-0.559693,-0.52899677,1.6382527850129485e-08
177,MYH10,-0.010853191,-0.5388878,-0.5280346,3.632802387876383e-08
178,YEATS2,-0.0321581,-0.55810976,-0.5259517,5.095565936254514e-09
179,TOP2B,-0.1253389,-0.65074974,-0.52541083,1.1958240271924376e-09
180,DAAM1,0.008477404,-0.5161829,-0.5246603,1.0419648372415191e-08
181,TCF20,-0.034644634,-0.55750895,-0.52286434,3.7733696486402795e-08
182,CBX1,0.049138885,-0.47349656,-0.52263546,1.0031702641678147e-08
183,MLLT11,0.07032245,-0.4519339,-0.5222563,2.1773741420239383e-08
184,COQ7,0.004245713,-0.5178524,-0.5220981,1.1435967563316299e-08
185,PRPF38A,-0.1811178,-0.7024058,-0.52128804,4.6714950263869486e-08
186,EFTUD2,-0.050793923,-0.57135254,-0.5205586,6.40416677392163e-08
187,NUP88,-0.053089026,-0.57362014,-0.5205311,3.276615513322915e-08
188,DPYSL3,0.14169782,-0.37849012,-0.520188,1.2239823517506349e-07
189,ARG2,0.08707797,-0.43289495,-0.5199729,8.508980545619134e-09
190,NDUFAF3,-0.11481541,-0.6344513,-0.5196359,9.223249354589019e-10
191,ARHGAP30,-0.079321206,-0.59888816,-0.51956695,1.0628957170162801e-08
192,PXMP2,-0.05574431,-0.57407,-0.5183257,8.264572352131474e-10
193,PTS,-0.04046948,-0.5587885,-0.518319,5.872426133271565e-09
194,ARPC1A,0.17025086,-0.34770507,-0.5179559,1.7397470032353687e-09
195,TTC19,0.0341638,-0.48368084,-0.5178446,1.3204712570097445e-07
196,GPSM1,0.06242027,-0.45329753,-0.5157178,2.608659414709787e-09
197,PPM1A,-0.008665773,-0.5242609,-0.5155951,1.4541223241054014e-08
198,ARL6IP6,0.012640136,-0.5025919,-0.515232,6.353113627265398e-08
199,NCBP1,0.011761267,-0.50199866,-0.5137599,1.907769113475841e-08
200,KATNAL1,0.19539237,-0.31737044,-0.5127628,2.26905112890692e-07
201,NSD2,-0.01909017,-0.5309488,-0.51185864,3.301460870007719e-09
202,KIAA1549,0.052437916,-0.45874453,-0.5111824,2.2569993737219543e-08
203,DNM1,0.019400498,-0.4916882,-0.51108867,8.757164338546171e-09
204,RBMX,-0.046981577,-0.5571504,-0.51016885,4.6443981612991465e-07
205,TMOD2,0.022836743,-0.4871182,-0.5099549,3.883590001804726e-09
206,CHAMP1,-0.07799542,-0.58777237,-0.50977695,5.920837127270862e-08
207,LENG9,0.088763714,-0.4208677,-0.5096314,1.4316939299905111e-08
208,UFL1,0.1361077,-0.37344003,-0.5095477,7.157267787905211e-08
209,MMAB,-0.018033193,-0.5273389,-0.5093057,3.8802910208406466e-08
210,RAB21,0.017437344,-0.49140716,-0.5088445,4.663632233595217e-08
211,KBTBD11,-0.007904912,-0.51668704,-0.50878215,2.8618107649415014e-09
212,NCOA5,-0.0064628376,-0.51503074,-0.5085679,1.292484899859323e-08
213,PABPC4,-0.04351043,-0.55068636,-0.5071759,2.4754201417957083e-07
214,MMUT,0.058039553,-0.44873035,-0.5067699,3.509098399818484e-08
215,SRSF9,-0.031372733,-0.53804135,-0.5066686,2.6712127977283154e-08
216,FUNDC2,0.0902595,-0.4158104,-0.5060699,1.7198331659147e-07
217,ANAPC1,0.13430104,-0.3700491,-0.5043501,1.107249313162208e-08
218,RTN3,0.078972414,-0.42522836,-0.50420076,6.02697049571036e-09
219,ATP2A1,-0.0103176655,-0.5143881,-0.5040704,6.5450234400767535e-09
220,YEATS4,-0.034314636,-0.5364913,-0.50217664,1.5324380781505458e-07
221,KIF18B,-0.022373216,-0.5241905,-0.5018173,8.504612293194161e-09
222,ALDH2,0.08079262,-0.42062882,-0.50142145,6.187117708205203e-08
223,ELF2,-0.030056959,-0.53071487,-0.5006579,2.0348588110588923e-08
224,HNRNPLL,0.08368287,-0.4169483,-0.50063115,2.4820925415149745e-09
225,MYO19,0.047847874,-0.45040014,-0.498248,3.498034579799745e-07
226,RMND1,0.023417484,-0.47348312,-0.4969006,2.963285719942127e-07
227,THOC5,-0.00026781065,-0.49575377,-0.49548596,3.510901369831555e-08
228,ZNF22,-0.025802594,-0.5209314,-0.49512884,4.495136208050851e-08
229,ASF1A,-0.024904221,-0.5190295,-0.49412528,5.698245875941426e-09
230,NDUFAF4,-0.10560605,-0.59922093,-0.49361488,2.602881279718239e-08
231,VEZF1,-0.024980249,-0.51848197,-0.49350172,8.354839388431061e-09
232,SMG6,0.036637142,-0.45668855,-0.4933257,2.492961679684288e-08
233,CRNKL1,0.05036963,-0.44252384,-0.49289346,4.33722918044746e-08
234,EPHB4,0.027925417,-0.46464378,-0.4925692,1.015007334616112e-07
235,VAMP2,0.028390532,-0.46414325,-0.49253377,7.168989480044616e-08
236,AK3,0.049450837,-0.4429364,-0.49238724,3.6270624025210534e-09
237,CNTN1,0.028162783,-0.4640687,-0.4922315,2.218818100356884e-08
238,GPT2,-0.0036284737,-0.4954729,-0.49184445,1.1929349472994255e-08
239,MFSD1,0.03553405,-0.45618466,-0.4917187,1.0634686828743502e-07
240,ATXN2,0.10567455,-0.38590747,-0.49158204,2.555519390970758e-07
241,ANK3,0.020814758,-0.46864012,-0.48945487,4.978627327153902e-07
242,SIGMAR1,-0.089967474,-0.578958,-0.4889905,8.226317762255996e-08
243,COMMD9,0.07543561,-0.41294655,-0.48838216,2.2900634596162077e-07
244,AMIGO2,-0.052191846,-0.5403415,-0.48814964,2.5654370002383104e-09
245,ANKRD10,0.005585372,-0.4821052,-0.48769057,1.7139008401628489e-07
246,SCFD2,0.046966325,-0.43958083,-0.48654714,2.9705468291004115e-07
247,YLPM1,-0.003691461,-0.49000055,-0.48630908,1.5389458654866477e-07
248,MARCKSL1,0.005160753,-0.48017514,-0.4853359,3.5762025919471868e-09
249,ILF2,-0.029818542,-0.5151207,-0.48530215,2.2879207766945584e-07
250,THEM6,0.14307013,-0.34175554,-0.48482567,7.679110472232672e-08
251,ERI3,-0.007481848,-0.49161094,-0.4841291,2.128333772414744e-07
252,HS2ST1,0.06222835,-0.42161056,-0.48383892,1.1301837325710833e-07
253,PSIP1,-0.061928976,-0.5456298,-0.4837008,6.906216141351434e-08
254,BRMS1,-0.024732064,-0.5069059,-0.48217386,5.561411237154262e-07
255,BCL7B,0.025537448,-0.45614964,-0.4816871,2.8887189982012098e-08
256,SRSF1,-0.09169246,-0.5722739,-0.48058146,6.531959154685842e-08
257,NXF1,0.030166106,-0.45039585,-0.48056197,2.954341973941655e-08
258,NUSAP1,-0.04637827,-0.5268602,-0.48048192,3.818579763894802e-08
259,SESTD1,0.094643384,-0.3852761,-0.4799195,5.688900841640144e-07
260,TMEM68,0.017752118,-0.46115714,-0.47890925,8.498249414078768e-08
261,CTCF,-0.07473464,-0.55341864,-0.478684,8.029448703818071e-08
262,KDM1A,0.015894068,-0.4627244,-0.47861844,4.335236725706678e-09
263,COX8A,-0.01993143,-0.49807167,-0.47814023,1.0619521602601006e-07
264,IK,-0.048900418,-0.5267776,-0.4778772,1.2552428074318803e-06
265,STAG1,0.025288476,-0.451865,-0.47715345,5.373098898744037e-07
266,GCLC,0.08167264,-0.3950691,-0.47674173,3.209131169915829e-06
267,PRPF3,0.038830314,-0.43690044,-0.47573075,5.565521711475131e-07
268,UBE2A,-0.044585627,-0.518836,-0.4742504,6.9136927509271976e-06
269,CKAP4,0.10654185,-0.36713687,-0.4736787,2.3153749253904227e-07
270,NCBP3,-0.09221548,-0.5650894,-0.47287393,5.93000478375872e-07
271,ISLR2,0.071769014,-0.40051943,-0.47228843,8.858418029604061e-08
272,CTBP1,-0.08285586,-0.5544012,-0.47154537,3.028598939274323e-08
273,SLC25A46,-0.016011763,-0.4870328,-0.47102103,3.244608325820562e-07
274,LIN7A,-0.017768573,-0.4879398,-0.47017124,2.3604361637078643e-08
275,NDUFS3,0.0063133365,-0.46382728,-0.4701406,5.188993707583252e-08
276,CAMK4,0.07568106,-0.39382133,-0.4695024,7.11681486995317e-07
277,THOC6,-0.07701888,-0.5458866,-0.4688677,4.4084847138899183e-07
278,INTS12,-0.0033645153,-0.47198674,-0.46862224,1.5911414581546938e-06
279,ATN1,0.033706073,-0.43341315,-0.46711922,2.4290106213232215e-08
280,ANKRD30B,0.04150373,-0.425006,-0.46650973,4.981950342674789e-07
281,GRIPAP1,0.13235694,-0.33414847,-0.4665054,1.0699935326726326e-06
282,PATZ1,-0.047309864,-0.51358086,-0.46627098,1.2020570373695743e-07
283,GNAI1,0.0770578,-0.38915214,-0.46620995,1.1194908919708703e-07
284,UNG,-0.05680307,-0.5229881,-0.466185,1.0556941535835336e-07
285,SFPQ,-0.084171236,-0.55007815,-0.46590692,6.935229589961875e-07
286,H2AC21,-0.027832875,-0.4931999,-0.46536705,1.9866476994177948e-07
287,SKP2,0.1431119,-0.3200122,-0.4631241,2.142474418729569e-06
288,GNG2,-0.08902071,-0.552011,-0.4629903,1.8641255983539116e-08
289,MEX3A,-0.03160656,-0.49453887,-0.46293232,6.6927061309717065e-09
290,ZNF462,-0.1352025,-0.5979938,-0.4627913,3.037113393574121e-08
291,CRIPT,-0.02692594,-0.48968458,-0.46275863,1.2498949332384872e-07
292,OSBPL2,-0.030176442,-0.49280304,-0.4626266,1.0200516961272628e-07
293,PTGFRN,-0.01493658,-0.47693622,-0.46199965,4.629840733684233e-07
294,PLPP6,0.08715268,-0.3743113,-0.461464,7.601742892881174e-07
295,HDAC4,0.057383794,-0.40379018,-0.46117398,1.2249008225601066e-06
296,NFYC,-0.09583489,-0.55697536,-0.46114048,1.371361625549789e-06
297,SLC25A4,-0.0312868,-0.4923418,-0.46105498,4.817444232894957e-07
298,NTAQ1,-0.02420419,-0.48460704,-0.46040285,8.795883666492218e-09
299,SAMD1,-0.12460659,-0.5843309,-0.45972434,2.19112323890626e-07
300,CADM1,-0.063477635,-0.5229384,-0.45946074,1.8504012716914581e-07
301,ENDOG,0.0081678955,-0.45115545,-0.45932335,6.932489981059064e-08
302,XRCC1,-0.04837943,-0.50763094,-0.45925152,3.676564736503156e-07
303,MANBAL,0.038876705,-0.41922638,-0.4581031,3.760027673427667e-08
304,COBL,0.17720284,-0.28040633,-0.45760918,4.5458816455350286e-06
305,ANAPC4,0.075498946,-0.38185805,-0.457357,2.7998970859918595e-06
306,MYT1L,0.031733193,-0.42513257,-0.45686576,4.2546766520976576e-08
307,EXOC8,-0.057592202,-0.5134286,-0.45583642,1.4671595645714683e-07
308,FABP6,0.049489934,-0.40583745,-0.4553274,3.444825501775808e-06
309,CIRBP,-0.060977217,-0.5162759,-0.45529866,1.0244738466499876e-07
310,DCLK1,0.056990065,-0.39807674,-0.4550668,5.80092779453206e-07
311,SRSF10,-0.06964819,-0.52352786,-0.45387965,1.0242021564843263e-06
312,MARVELD2,0.083852924,-0.3698702,-0.4537231,7.226565403309648e-06
313,ARVCF,0.080546744,-0.37265083,-0.45319757,2.6944782839082373e-07
314,ALDH3A2,0.074350685,-0.37872243,-0.4530731,9.127294654988352e-07
315,TDRD3,-0.0131647615,-0.4659651,-0.45280033,1.9006925570039228e-07
316,XAB2,-0.09907311,-0.5513887,-0.45231557,1.7785171106862454e-06
317,PNPLA4,0.12164919,-0.33025745,-0.45190662,1.7956396649712058e-06
318,VLDLR,-0.083446234,-0.535177,-0.45173076,2.254375435491004e-06
319,FAAH,0.034510165,-0.41719845,-0.4517086,2.4891797535498954e-06
320,ELMOD2,0.10416045,-0.34746644,-0.4516269,4.090684353053851e-06
321,HMGB3,0.05122534,-0.40010232,-0.45132765,2.2579046122994289e-07
322,WDR91,-0.046852287,-0.49801725,-0.45116496,7.882122462779333e-07
323,AAAS,0.00069801795,-0.45014656,-0.4508446,4.662770436874514e-07
324,PTGS1,-0.049677003,-0.500224,-0.45054698,1.1497909620182174e-07
325,PWWP2A,0.06119079,-0.38848206,-0.44967285,1.7272447148669144e-07
326,PLA2G4A,0.009508501,-0.44007903,-0.44958752,4.3332937018045356e-07
327,PLEKHA5,0.08538038,-0.361599,-0.44697937,1.2861837412573196e-06
328,FIBP,0.007365276,-0.439426,-0.4467913,1.027026608821832e-07
329,SH3BP4,0.065287724,-0.38150245,-0.44679016,2.759282699593733e-06
330,COX7A2,0.019198636,-0.4269853,-0.44618392,2.217452769903503e-06
331,DR1,-0.0035544257,-0.44959617,-0.44604173,1.8151558331538093e-05
332,SORD,-0.02672845,-0.47142357,-0.44469512,2.4994900027954063e-07
333,CNPY2,0.009056909,-0.43544587,-0.44450277,3.7592069400036054e-07
334,SEC63,0.072822854,-0.37023452,-0.44305736,9.438719299312335e-07
335,PODXL2,-0.08143383,-0.52412444,-0.4426906,6.475317866276434e-07
336,NCK2,0.013639098,-0.4289124,-0.4425515,6.343803161686322e-07
337,ZNF326,-0.014546221,-0.45709658,-0.44255036,3.571418799385704e-07
338,OR4K3,-0.09888141,-0.54091555,-0.44203413,3.385362100023891e-07
339,KIF20A,0.07510094,-0.36663562,-0.44173658,4.068059357990713e-06
340,PDK1,-0.08873329,-0.5301449,-0.44141158,1.0612945243883275e-06
341,SIX4,-0.045620598,-0.48693454,-0.44131395,1.3415548667895216e-07
342,SDC2,0.15617661,-0.2848088,-0.44098544,1.101081740967923e-05
343,ACP3,0.1833174,-0.25738275,-0.44070014,8.125710185413338e-06
344,KIF20B,0.10755682,-0.3308488,-0.43840563,1.1768742683626291e-07
345,POLR2G,-0.028441291,-0.46678486,-0.43834358,9.796388339348553e-07
346,STX8,0.16734768,-0.27093488,-0.43828255,1.9444780698983704e-07
347,KSR1,0.020420717,-0.41743997,-0.4378607,1.2097859453120848e-06
348,TMX4,0.088299036,-0.34867218,-0.43697122,2.101093779401137e-06
