,pathways,diff_copy
0,allograft_rejection,-0.2746666666666666
1,apoptosis,0.39963218390804656
2,bile_acid_metabolism,0.27739999999999965
3,cholesterol_homeostasis,0.4348131313131315
4,coagulation,0.4711904761904764
5,dna_repair,-0.16635632183907978
6,e2f_targets,-0.2729999999999999
7,emt,0.5317233690846879
8,fatty_acid_metabolism,0.30633333333333357
9,g2m_checkpoint,-0.22449999999999992
10,heme_metabolism,0.33044782608695666
11,il2_stat5_signalling,0.5213854679802963
12,interferon_gamma_response,0.254999999999999
13,myc_targets,-0.17200000000000149
14,myogenesis,0.4430712250712243
15,tnfa_via_nfkb,0.5210623188405799
16,xenobiotic_metabolism,0.4439999999999982
